LUGAR	HORA	FECHA	Alcatraz adulto	Alcatraz inmaduro	Alcatraz juvenil	Gaviota patiamarilla	Gaviota sombr¡a	Gaviota arg‚ntea europea	Gaviota c spica	Gaviota reidora	Gaviota trid ctila	Gaviota cabecinegra	Gaviota cana	Gaviota enana	Gavi¢n atl ntico	Gavi¢n hiperb¢reo	Gaviota peque¤a	Pardela balear	Pardela mediterr nea	Pardela pichoneta	Pardela sombr¡a	Pardela cenicienta	Pardela capirotada	Pardela sp	Pa¡¤o europeo	Pa¡¤o boreal	Fulmar boreal	Cormor n mo¤udo	Alcarao	Arao com£n	Alca com£n	Frailecillo atl ntico	M‚rgulo atl ntico	P galo grande	P galo pomarino	P galo par sito	P galo rabero	Negr¢n com£n	Negr¢n especulado	Barnacla carinegra	Tarro blanco	µnade	µnade azul¢n	Cerceta com£n	µnade rabudo	Silb¢n europeo	Pato havelda	Cuchara com£n	Sterna sp	Charr n com£n	Charr n comic	Charr n patinegro	Fumarel com£n	Pagaza piquirroja	Pagaza piconegra	Lim¡cola	Vuelvepiedras com£n	Avoceta com£n	Aguja colipinta	Chorlito gris	Chorlito dorado europeo	Chorlitejo chico	Chorlitejo grande	Falaropo picogrueso	Archibebe com£n	Zarapito trinador	Zarapito real	Zarapito ?	Correlimos sp	Andarr¡os chico	Ostrero euroasi tico	Esp tula	Garceta com£n	Garceta grande	Garza real	Garza imperial	Garcilla bueyera	Colimbo grande	Colimbo chico	Colimbo  rtico	Cormor n grande	Fring¡lido	Jilguero	Lavandera blanca	Lavandera boyera	Lavandera cascade¤a	Urraca	Cuervo grande	µguila pescadora	Aguilucho p lido	Golondrina com£n	Avi¢n com£n	Vencejo com£n	Tortola europea	Alaudido	Alondra com£n	Pinz¢n vulgar	Bisbita	Bisbita pratense	Busardo ratonero	Mart¡n pescador	Halc¢n peregrino	Mosquitero musical	Paloma torcaz	Zorzal alirrojo	Zorzal com£n	Petirrojo	Colirrojo tiz¢n	Verder¢n com£n	Milano negro	Delf¡n mular	Delf¡n com£n	Marsopa	Yubarta	Delf¡n	Pez luna	T£nido	At£n rojo
PREBIMEP W	9:00-9:30	31/05/2019				20																																																																																																																
PREBIMEP A	9:00-9:30	31/05/2019																																																																																																																				
PREBIMEP E	9:00-9:30	31/05/2019																																																																																																																				
BIMEP BAJO W	9:00-9:30	31/05/2019	1				1																																																																																																															
BIMEP BAJO A	9:00-9:30	31/05/2019																																																																																																																				
BIMEP BAJO E	9:00-9:30	31/05/2019																																																																																																																				
BIMEP ALTO W	9:00-9:30	31/05/2019																																																																																																																				
BIMEP ALTO E	9:00-9:30	31/05/2019																																																																																																																				
POSBIMEP W	9:00-9:30	31/05/2019																																																																																																																				
POSBIMEP A	9:00-9:30	31/05/2019																																																																																																																				
POSBIMEP E	9:00-9:30	31/05/2019																																																																																																																				
PREBIMEP W	9:30-10:00	31/05/2019				1																																																																																																																
PREBIMEP A	9:30-10:00	31/05/2019																																																																																																																				
PREBIMEP E	9:30-10:00	31/05/2019																																																																																																																				
BIMEP BAJO W	9:30-10:00	31/05/2019																																																																																																																				
BIMEP BAJO A	9:30-10:00	31/05/2019																																																																																																																				
BIMEP BAJO E	9:30-10:00	31/05/2019																6										1																																																																																										
BIMEP ALTO W	9:30-10:00	31/05/2019																																																																																																																				
BIMEP ALTO E	9:30-10:00	31/05/2019																																																																																																																				
POSBIMEP W	9:30-10:00	31/05/2019																																																																																																																				
POSBIMEP A	9:30-10:00	31/05/2019																																																																																																																				
POSBIMEP E	9:30-10:00	31/05/2019																																																																																																																				
PREBIMEP W	10:00-10:30	31/05/2019				2																																																																																																																
PREBIMEP A	10:00-10:30	31/05/2019																																																																																																																				
PREBIMEP E	10:00-10:30	31/05/2019				6												15																																																																																																				
BIMEP BAJO W	10:00-10:30	31/05/2019																			2																																																																																																	
BIMEP BAJO A	10:00-10:30	31/05/2019																																																																																																																				
BIMEP BAJO E	10:00-10:30	31/05/2019				6												44																																																																																																				
BIMEP ALTO W	10:00-10:30	31/05/2019																																																																																																																				
BIMEP ALTO E	10:00-10:30	31/05/2019																																																																																																																				
POSBIMEP W	10:00-10:30	31/05/2019																																																																																																																				
POSBIMEP A	10:00-10:30	31/05/2019																																																																																																																				
POSBIMEP E	10:00-10:30	31/05/2019																																																																																																																				
PREBIMEP W	10:30-11:00	31/05/2019																																																																																																																				
PREBIMEP A	10:30-11:00	31/05/2019																																																																																																																				
PREBIMEP E	10:30-11:00	31/05/2019				3																						1																																														2																	1																											
BIMEP BAJO W	10:30-11:00	31/05/2019																1																																																																																																				
BIMEP BAJO A	10:30-11:00	31/05/2019																																																																																																																				
BIMEP BAJO E	10:30-11:00	31/05/2019				3												41																																																																																																				
BIMEP ALTO W	10:30-11:00	31/05/2019																																																																																																																				
BIMEP ALTO E	10:30-11:00	31/05/2019																																																																																																																				
POSBIMEP W	10:30-11:00	31/05/2019																																																																																																																				
POSBIMEP A	10:30-11:00	31/05/2019																																																																																																																				
POSBIMEP E	10:30-11:00	31/05/2019																																																																																																																				
PREBIMEP W	11:00-11:30	31/05/2019				3																																																																																																																
PREBIMEP A	11:00-11:30	31/05/2019																																																																																																																				
PREBIMEP E	11:00-11:30	31/05/2019																1																																																																																																				
BIMEP BAJO W	11:00-11:30	31/05/2019				2																																																																																																																
BIMEP BAJO A	11:00-11:30	31/05/2019				24												2																																																																																																				
BIMEP BAJO E	11:00-11:30	31/05/2019				1												2										1																																																																																										
BIMEP ALTO W	11:00-11:30	31/05/2019																																																																																																																				
BIMEP ALTO E	11:00-11:30	31/05/2019																																																																																																																				
POSBIMEP W	11:00-11:30	31/05/2019	1																																																																																																																			
POSBIMEP A	11:00-11:30	31/05/2019																																																																																																																				
POSBIMEP E	11:00-11:30	31/05/2019																1																																																																																																				
PREBIMEP W	11:30-12:00	31/05/2019	1			1																																																																																				1										1																		
PREBIMEP A	11:30-12:00	31/05/2019																																																																																																																				
PREBIMEP E	11:30-12:00	31/05/2019																																																																																																																				
BIMEP BAJO W	11:30-12:00	31/05/2019				1												1																																																																																																				
BIMEP BAJO A	11:30-12:00	31/05/2019																																																																																																																				
BIMEP BAJO E	11:30-12:00	31/05/2019																										1																																																																																										
BIMEP ALTO W	11:30-12:00	31/05/2019																																																																																																																				
BIMEP ALTO E	11:30-12:00	31/05/2019																																																																																																																				
POSBIMEP W	11:30-12:00	31/05/2019																																																																																																																				
POSBIMEP A	11:30-12:00	31/05/2019																																																																																																																				
POSBIMEP E	11:30-12:00	31/05/2019																																																																																																																				
PREBIMEP W	15:15-15:45	31/05/2019				1																																																																																																																
PREBIMEP A	15:15-15:45	31/05/2019																																																																																																																				
PREBIMEP E	15:15-15:45	31/05/2019				5																																																																																																																
BIMEP BAJO W	15:15-15:45	31/05/2019																																																																																																																				
BIMEP BAJO A	15:15-15:45	31/05/2019																																																																																																																				
BIMEP BAJO E	15:15-15:45	31/05/2019				5																																																																																																																
BIMEP ALTO W	15:15-15:45	31/05/2019																																																																																																																				
BIMEP ALTO E	15:15-15:45	31/05/2019																																																																																																																				
POSBIMEP W	15:15-15:45	31/05/2019																																																																																																																				
POSBIMEP A	15:15-15:45	31/05/2019																																																																																																																				
POSBIMEP E	15:15-15:45	31/05/2019																																																																																																																				
PREBIMEP W	15:45-16:15	31/05/2019																8																																																																																																				
PREBIMEP A	15:45-16:15	31/05/2019				60												1			2							3																																																																																										
PREBIMEP E	15:45-16:15	31/05/2019				1																																																																																																																
BIMEP BAJO W	15:45-16:15	31/05/2019				3																																																																																																																
BIMEP BAJO A	15:45-16:15	31/05/2019				37									1																																																																																																							
BIMEP BAJO E	15:45-16:15	31/05/2019				5																																																																																																																
BIMEP ALTO W	15:45-16:15	31/05/2019																																																																																																																				
BIMEP ALTO E	15:45-16:15	31/05/2019																																																																																																																				
POSBIMEP W	15:45-16:15	31/05/2019																																																																																																																				
POSBIMEP A	15:45-16:15	31/05/2019																																																																																																																				
POSBIMEP E	15:45-16:15	31/05/2019																																																																																																																				
PREBIMEP W	16:15-16:45	31/05/2019				1																																																																																																																
PREBIMEP A	16:15-16:45	31/05/2019																3										6																																																																																										
PREBIMEP E	16:15-16:45	31/05/2019				4												3																																																																																																				
BIMEP BAJO W	16:15-16:45	31/05/2019				2																																																																																																																
BIMEP BAJO A	16:15-16:45	31/05/2019																																																																																																																				
BIMEP BAJO E	16:15-16:45	31/05/2019	1			2																																														5																																																																		
BIMEP ALTO W	16:15-16:45	31/05/2019																																																																																																																				
BIMEP ALTO E	16:15-16:45	31/05/2019																																																																																																																				
POSBIMEP W	16:15-16:45	31/05/2019																																																																																																																				
POSBIMEP A	16:15-16:45	31/05/2019																																																																																																																				
POSBIMEP E	16:15-16:45	31/05/2019																																																																																																																				
PREBIMEP W	16:45-17:15	31/05/2019																																																																																																																				
PREBIMEP A	16:45-17:15	31/05/2019																																																																																																																				
PREBIMEP E	16:45-17:15	31/05/2019				5																																														5																																																																		
BIMEP BAJO W	16:45-17:15	31/05/2019				1																																																																																																																
BIMEP BAJO A	16:45-17:15	31/05/2019				15																																																																																																																
BIMEP BAJO E	16:45-17:15	31/05/2019	2			16																																																																																																																
BIMEP ALTO W	16:45-17:15	31/05/2019																																																																																																																				
BIMEP ALTO E	16:45-17:15	31/05/2019																																																																																																																				
POSBIMEP W	16:45-17:15	31/05/2019																																																																																																																				
POSBIMEP A	16:45-17:15	31/05/2019																																																																																																																				
POSBIMEP E	16:45-17:15	31/05/2019																																																																																																																				
PREBIMEP W	17:15-17:45	31/05/2019				2																																																																																																																
PREBIMEP A	17:15-17:45	31/05/2019				3																																																																																																																
PREBIMEP E	17:15-17:45	31/05/2019				10																																																																																																																
BIMEP BAJO W	17:15-17:45	31/05/2019	1																																																																																																																			
BIMEP BAJO A	17:15-17:45	31/05/2019	1																																																																																																																			
BIMEP BAJO E	17:15-17:45	31/05/2019																																																																																																																				
BIMEP ALTO W	17:15-17:45	31/05/2019																																																																																																																				
BIMEP ALTO E	17:15-17:45	31/05/2019				3																																																																																																																
POSBIMEP W	17:15-17:45	31/05/2019																																																																																																																				
POSBIMEP A	17:15-17:45	31/05/2019																																																																																																																				
POSBIMEP E	17:15-17:45	31/05/2019																																																																																																																				
PREBIMEP W	17:45-18:15	31/05/2019				2																																																																																																																
PREBIMEP A	17:45-18:15	31/05/2019																																																																																																																				
PREBIMEP E	17:45-18:15	31/05/2019				6												6																																	4																																																																			
BIMEP BAJO W	17:45-18:15	31/05/2019																																																																																																																				
BIMEP BAJO A	17:45-18:15	31/05/2019																																																																																																																				
BIMEP BAJO E	17:45-18:15	31/05/2019				3																																																																																																																
BIMEP ALTO W	17:45-18:15	31/05/2019				1																																																																																																																
BIMEP ALTO E	17:45-18:15	31/05/2019																																																																																																																				
POSBIMEP W	17:45-18:15	31/05/2019																																																																																																																				
POSBIMEP A	17:45-18:15	31/05/2019																																																																																																																				
POSBIMEP E	17:45-18:15	31/05/2019				1																																																																																																																
PREBIMEP W	9:00-9:30	27/06/2019				1				7																																																																																																												
PREBIMEP A	9:00-9:30	27/06/2019																																																																																																																				
PREBIMEP E	9:00-9:30	27/06/2019																																																																																																																				
BIMEP BAJO W	9:00-9:30	27/06/2019																2																																																																																																				
BIMEP BAJO A	9:00-9:30	27/06/2019				243												16										9																																																																																										
BIMEP BAJO E	9:00-9:30	27/06/2019																15																																																																																																				
BIMEP ALTO W	9:00-9:30	27/06/2019				6																																																																																																																
BIMEP ALTO E	9:00-9:30	27/06/2019	1			103																																																																																																																
POSBIMEP W	9:00-9:30	27/06/2019																																																																																																																				
POSBIMEP A	9:00-9:30	27/06/2019																																																																																																																				
POSBIMEP E	9:00-9:30	27/06/2019																																																																																																																				
PREBIMEP W	9:30-10:00	27/06/2019				2																																																																																																																
PREBIMEP A	9:30-10:00	27/06/2019																																																																																																																				
PREBIMEP E	9:30-10:00	27/06/2019																																																																																																																				
BIMEP BAJO W	9:30-10:00	27/06/2019	1			20												12										8																																																																																										
BIMEP BAJO A	9:30-10:00	27/06/2019																																																																																																																				
BIMEP BAJO E	9:30-10:00	27/06/2019	1			5												16										11																																																																																										
BIMEP ALTO W	9:30-10:00	27/06/2019				10																																																																																																																
BIMEP ALTO E	9:30-10:00	27/06/2019																																																																																																																				
POSBIMEP W	9:30-10:00	27/06/2019																																																																																																																				
POSBIMEP A	9:30-10:00	27/06/2019																																																																																																																				
POSBIMEP E	9:30-10:00	27/06/2019																																																																																																																				
PREBIMEP W	10:00-10:30	27/06/2019																																																																																																																				
PREBIMEP A	10:00-10:30	27/06/2019																																																																																																																				
PREBIMEP E	10:00-10:30	27/06/2019				12																																																																																																																
BIMEP BAJO W	10:00-10:30	27/06/2019				7												9										3																																																																																										
BIMEP BAJO A	10:00-10:30	27/06/2019	3																																																																																																																			
BIMEP BAJO E	10:00-10:30	27/06/2019				1												91										12																																																																																										
BIMEP ALTO W	10:00-10:30	27/06/2019				17																																																																																																																
BIMEP ALTO E	10:00-10:30	27/06/2019				3																																																																																																																
POSBIMEP W	10:00-10:30	27/06/2019																																																																																																																				
POSBIMEP A	10:00-10:30	27/06/2019																																																																																																																				
POSBIMEP E	10:00-10:30	27/06/2019																																																																																																																				
PREBIMEP W	10:30-11:00	27/06/2019				3												6										2																																																																																										
PREBIMEP A	10:30-11:00	27/06/2019																										2																																																																																										
PREBIMEP E	10:30-11:00	27/06/2019				11																						6																																																																																										
BIMEP BAJO W	10:30-11:00	27/06/2019																4										2																																																																																										
BIMEP BAJO A	10:30-11:00	27/06/2019				90																																																																																																																
BIMEP BAJO E	10:30-11:00	27/06/2019				12																						2																																																																																										
BIMEP ALTO W	10:30-11:00	27/06/2019				7																																																																																																																
BIMEP ALTO E	10:30-11:00	27/06/2019				6																																																																																																																
POSBIMEP W	10:30-11:00	27/06/2019																																																																																																																				
POSBIMEP A	10:30-11:00	27/06/2019																																																																																																																				
POSBIMEP E	10:30-11:00	27/06/2019																																																																																																																				
PREBIMEP W	11:00-11:30	27/06/2019				1												1																																																																																																				
PREBIMEP A	11:00-11:30	27/06/2019																1																																																																																																				
PREBIMEP E	11:00-11:30	27/06/2019				7												3										2																																																																																										
BIMEP BAJO W	11:00-11:30	27/06/2019				5												3										3																																																																																										
BIMEP BAJO A	11:00-11:30	27/06/2019																																																																																																																				
BIMEP BAJO E	11:00-11:30	27/06/2019				36	1											7										1																																																																																										
BIMEP ALTO W	11:00-11:30	27/06/2019				9																																																																																																																
BIMEP ALTO E	11:00-11:30	27/06/2019				1																																																																																																																
POSBIMEP W	11:00-11:30	27/06/2019																																																																																																																				
POSBIMEP A	11:00-11:30	27/06/2019																																																																																																																				
POSBIMEP E	11:00-11:30	27/06/2019																																																																																																																				
PREBIMEP W	11:30-12:00	27/06/2019				15																						1																																																																																										
PREBIMEP A	11:30-12:00	27/06/2019																																																																																																																				
PREBIMEP E	11:30-12:00	27/06/2019				21																																																																																																																
BIMEP BAJO W	11:30-12:00	27/06/2019																	1									1																																																																																										
BIMEP BAJO A	11:30-12:00	27/06/2019																	1																																																																																																			
BIMEP BAJO E	11:30-12:00	27/06/2019				58													3																																																																																																			
BIMEP ALTO W	11:30-12:00	27/06/2019				2																																																																																																																
BIMEP ALTO E	11:30-12:00	27/06/2019				13																																																																																																																
POSBIMEP W	11:30-12:00	27/06/2019																																																																																																																				
POSBIMEP A	11:30-12:00	27/06/2019																																																																																																																				
POSBIMEP E	11:30-12:00	27/06/2019																																																																																																																				
PREBIMEP W	15:45-16:15	27/06/2019				1																																																																																						1																										
PREBIMEP A	15:45-16:15	27/06/2019																																																																																																																				
PREBIMEP E	15:45-16:15	27/06/2019																																																																																																																				
BIMEP BAJO W	15:45-16:15	27/06/2019				10																																																																																																																
BIMEP BAJO A	15:45-16:15	27/06/2019				20																																																																																																																
BIMEP BAJO E	15:45-16:15	27/06/2019				82																																																																																																																
BIMEP ALTO W	15:45-16:15	27/06/2019				12																																																																																																																
BIMEP ALTO E	15:45-16:15	27/06/2019																																																																																																																				
POSBIMEP W	15:45-16:15	27/06/2019																																																																																																																				
POSBIMEP A	15:45-16:15	27/06/2019																																																																																																																				
POSBIMEP E	15:45-16:15	27/06/2019																																																																																																																				
PREBIMEP W	16:15-16:45	27/06/2019																																																																																																																				
PREBIMEP A	16:15-16:45	27/06/2019																																																																																																																				
PREBIMEP E	16:15-16:45	27/06/2019				2																																																																																																																
BIMEP BAJO W	16:15-16:45	27/06/2019																																																																																																																				
BIMEP BAJO A	16:15-16:45	27/06/2019																																																																																																																				
BIMEP BAJO E	16:15-16:45	27/06/2019				2																																																																																																																
BIMEP ALTO W	16:15-16:45	27/06/2019	1			24																																																																																																																
BIMEP ALTO E	16:15-16:45	27/06/2019				1																																																																																																																
POSBIMEP W	16:15-16:45	27/06/2019																																																																																																																				
POSBIMEP A	16:15-16:45	27/06/2019																																																																																																																				
POSBIMEP E	16:15-16:45	27/06/2019																																																																																																																				
PREBIMEP W	16:45-17:15	27/06/2019				2																																																																																																																
PREBIMEP A	16:45-17:15	27/06/2019																																																																																																																				
PREBIMEP E	16:45-17:15	27/06/2019				9																																																																																																																
BIMEP BAJO W	16:45-17:15	27/06/2019																																																																																																																				
BIMEP BAJO A	16:45-17:15	27/06/2019																																																																																																																				
BIMEP BAJO E	16:45-17:15	27/06/2019																																																																																																																				
BIMEP ALTO W	16:45-17:15	27/06/2019	1			21																																																																																																																
BIMEP ALTO E	16:45-17:15	27/06/2019				7																																																																																																																
POSBIMEP W	16:45-17:15	27/06/2019																																																																																																																				
POSBIMEP A	16:45-17:15	27/06/2019																																																																																																																				
POSBIMEP E	16:45-17:15	27/06/2019																																																																																																																				
PREBIMEP W	17:15-17:45	27/06/2019				12																						2																																																																																										
PREBIMEP A	17:15-17:45	27/06/2019																																																																																																																				
PREBIMEP E	17:15-17:45	27/06/2019				11																						1																																																																																										
BIMEP BAJO W	17:15-17:45	27/06/2019				7																																																																																																																
BIMEP BAJO A	17:15-17:45	27/06/2019																																																																																																																				
BIMEP BAJO E	17:15-17:45	27/06/2019				6																																																																																																																
BIMEP ALTO W	17:15-17:45	27/06/2019				8																																																																																																																
BIMEP ALTO E	17:15-17:45	27/06/2019				2																																																																																																																
POSBIMEP W	17:15-17:45	27/06/2019																																																																																																																				
POSBIMEP A	17:15-17:45	27/06/2019																																																																																																																				
POSBIMEP E	17:15-17:45	27/06/2019																																																																																																																				
PREBIMEP W	17:45-18:15	27/06/2019	1																									1																																																																																										
PREBIMEP A	17:45-18:15	27/06/2019																																																																																																																				
PREBIMEP E	17:45-18:15	27/06/2019				7																																																																																																																
BIMEP BAJO W	17:45-18:15	27/06/2019																																																																																																																				
BIMEP BAJO A	17:45-18:15	27/06/2019																																																																																																																				
BIMEP BAJO E	17:45-18:15	27/06/2019																																																																																																																				
BIMEP ALTO W	17:45-18:15	27/06/2019				4																																																																																																																
BIMEP ALTO E	17:45-18:15	27/06/2019																																																																																																																				
POSBIMEP W	17:45-18:15	27/06/2019																																																																																																																				
POSBIMEP A	17:45-18:15	27/06/2019																																																																																																																				
POSBIMEP E	17:45-18:15	27/06/2019																																																																																																																				
PREBIMEP W	18:15-18:45	27/06/2019				11																																																																																																																
PREBIMEP A	18:15-18:45	27/06/2019																																																																																																																				
PREBIMEP E	18:15-18:45	27/06/2019				1																																																																																																																
BIMEP BAJO W	18:15-18:45	27/06/2019																										1																																																																																										
BIMEP BAJO A	18:15-18:45	27/06/2019																																																																																																																				
BIMEP BAJO E	18:15-18:45	27/06/2019																																																																																																																				
BIMEP ALTO W	18:15-18:45	27/06/2019				7																																																																																																																
BIMEP ALTO E	18:15-18:45	27/06/2019																																																																																																																				
POSBIMEP W	18:15-18:45	27/06/2019																																																																																																																				
POSBIMEP A	18:15-18:45	27/06/2019																																																																																																																				
POSBIMEP E	18:15-18:45	27/06/2019																																																																																																																				
PREBIMEP W	8:10-8:40	25/07/2019				1																																																																1																																																
PREBIMEP A	8:10-8:40	25/07/2019																																																																																																																				
PREBIMEP E	8:10-8:40	25/07/2019																																																																																																																				
BIMEP BAJO W	8:10-8:40	25/07/2019																11										2																																																																																										
BIMEP BAJO A	8:10-8:40	25/07/2019				2.000												7																																																																																																				
BIMEP BAJO E	8:10-8:40	25/07/2019				1												1																																																																																																				
BIMEP ALTO W	8:10-8:40	25/07/2019																																																																																																																				
BIMEP ALTO E	8:10-8:40	25/07/2019																																																																																																																				
POSBIMEP W	8:10-8:40	25/07/2019																				1																																																																																																
POSBIMEP A	8:10-8:40	25/07/2019																																																																																																																				
POSBIMEP E	8:10-8:40	25/07/2019																																																																																																																				
PREBIMEP W	8:40-9:10	25/07/2019				1																																																																																																																
PREBIMEP A	8:40-9:10	25/07/2019																																																																																																																				
PREBIMEP E	8:40-9:10	25/07/2019																																																																																																																				
BIMEP BAJO W	8:40-9:10	25/07/2019	3							5								4																																																																																																				
BIMEP BAJO A	8:40-9:10	25/07/2019																7																																																																																																				
BIMEP BAJO E	8:40-9:10	25/07/2019																2																																																																																																				
BIMEP ALTO W	8:40-9:10	25/07/2019	1	1						1																																																																																																												
BIMEP ALTO E	8:40-9:10	25/07/2019																																																																																																																				
POSBIMEP W	8:40-9:10	25/07/2019																																																																																																																				
POSBIMEP A	8:40-9:10	25/07/2019																																																																																																																				
POSBIMEP E	8:40-9:10	25/07/2019																																																																																																																				
PREBIMEP W	9:10-9:40	25/07/2019																																																																																																																				
PREBIMEP A	9:10-9:40	25/07/2019																																																																																																																				
PREBIMEP E	9:10-9:40	25/07/2019																																																																																																																				
BIMEP BAJO W	9:10-9:40	25/07/2019								4								3																																																				1																																																
BIMEP BAJO A	9:10-9:40	25/07/2019																61																																																																																																				
BIMEP BAJO E	9:10-9:40	25/07/2019																1																																																																																																				
BIMEP ALTO W	9:10-9:40	25/07/2019																																																																																																																				
BIMEP ALTO E	9:10-9:40	25/07/2019																																																																																																																				
POSBIMEP W	9:10-9:40	25/07/2019																																																																																																																				
POSBIMEP A	9:10-9:40	25/07/2019																																																																																																																				
